post_id	tweet_text	cord_uid	bm25_topk	in_topx
14	"""SARS-CoV-2 was found to infect and cross through brain microvascular endothelial cells, and the permeability of the infected vessel was heightened."" ""Furthermore, disruption of blood-brain barrier was discovered in the infected hamsters."""	2w6p6jji	['2w6p6jji', 'dsz66r4u', 'hkk23tqt', '32e1uxhl', 'gatxuwz7']	1.0
15	there are numerous sources, but one i like to share is the 2.3% of college athletes that had diagnosed myocarditis following a recent covid infection. that's several orders of magnitude higher than the risk from the vaccine.	dzlqe7n5	['fdn6h4gi', 'dzlqe7n5', 'r5552ql7', 'asi26od1', 'ixnko86u']	0.5
17	"""a study best-case scenario cost-benefit analysis revealed very conservatively that there are five times the number of fatalities attributable to each vaccination vs those attributable to covid-19 in the most susceptible 65+ demographic."""	4vkkaqhz	['4vkkaqhz', '3l6ipiwk', '3d74ihpp', 'c2krtbvr', 'trpbkat0']	1.0
18	A report on myocarditis adverse reactions in the U.S. vaccine adverse events reporting system (vaers) in association with COVID-19 injectable biological products Jessica Rose, Peter A. McCullough injection.	dksw5yzp	['dksw5yzp', '5ojyly05', 'qlejjw9s', 'gi21di4d', 'ks0zkp57']	1.0
19	the brains of #covid-19 patients have impaired blood vessels (more so-called string vessels representing remnants of lost capillaries); sars-cov-2 infects brain endothelial cells and leads to microvascular pathology via ripk signaling	dsz66r4u	['dsz66r4u', 'm80rklg5', 'ysu5rwmi', 'z92xqedn', '8wqii0nd']	1.0
20	"""10 studies that reported estimates of the effectiveness of face masks in reducing laboratory-confirmed influenza... during 1946–July 27, 2018. In pooled analysis, we found no substantial reduction in influenza transmission with the use of face masks"""	ef3warsh	['iu1d9i57', 'dhd9e9bn', '1vcc1khg', 'qi1henyy', 'ohkki0ke']	0.0
21	why #nicotine levels should not be limited to 20mg/ml:  juul in us (59mg/ml) 79% more effective than juul in uk (20mg/ml)   10,000 smokers buying juul, with no assistance  smokers need sufficient nicotine to switch and higher nicotine levels are more potent	puttcvi7	['cxqzo58q', 'puttcvi7', '227l4bzl', 'd2pzezq8', 'njpq3sq2']	0.5
22	"lemme just go ahead &amp; share this article about singing spreading virus:   ""...these droplets can potentially saturate the indoor environment, which can likely explain the very high attack rates of virus-19 seen in choirs in the united states &amp; europe"""	86gqxajw	['86gqxajw', '5nt99kyu', 'd3pxk5tr', 'svi7syld', 'e0pbs354']	1.0
23	this #machinelearning algorithm forecasts the emergence of #viral symptoms in healthcare workers using #wearable technology. | plos one	fhxgzm2i	['84z7jgcl', 'dqhdws5k', 'sygm6irl', 'h3tor88n', '19skljon']	0.0
24	Old information by now, but yet another study has confirmed that the majority of patients hospitalized with covid, influenza, or other critical illness do not have adequate vitamin D levels.	mf73oqp6	['mf73oqp6', 'hjmjav50', 'zvmwubuk', 'z2jtzsl6', 'g2j4uqem']	1.0
25	wow: new study debunks the myth that lockdowns work.  “in ~ 98% of the comparisons using 87 different regions of the world we found no evidence that the number of deaths/million is reduced by staying indoors.”	0474ggrt	['0474ggrt', 'gckr8h1m', '35meen0h', 'ekal5251', '1u532bz9']	1.0
26	preprint: the relationship between sars-cov-2 viral load &amp; transmission has been hard to calculate.  here, routine testing on a univ campus allows us to look at roommate pairs: viral loads were 6.5x higher when the index roommate spread. 1/	xd5uhah4	['60sbhzfs', 'xd5uhah4', 'vkf5njfz', 'z94005i4', '5zzlhyga']	0.5
27	why do some younger people contract severe covid-19?  researchers have identified a major common genetic risk locus on chromosome 3 (tagged by the snp rs10490770) for severe covid-19. however, the clinical implications of this genetic risk factor are not known. (1/n)	zkb1zbvq	['zkb1zbvq', 'r440fw19', '828s0mtz', 'b2iit1ef', 'hfbi7sk5']	1.0
28	"you're referencing a 12yr old study on colds, which was inconclusive. the cold is not covid. but i found this publication on that same site!  ""face masks use have shown a great potential for preventing respiratory virus transmission including the coronavirus."""	xtmn1n0r	['xtmn1n0r', 'qi1henyy', 'nom4z0tv', 'w3ls1d7w', 'dwtauu7f']	1.0
29	Hyperbaric oxygen treatment (hbot) has long been used to treat inflammation &amp; fatigue. this article discusses the inflammation side.  hbot delivers 100% oxygen to the body &amp; it’s even more effective because of the pressurized chamber. hbot is particularly...	fzbs46fk	['8rvhqd9b', 'ii2fmi39', '7jwqm0b2', 'bjycvoxw', 'bf654xie']	0.0
30	Obesity may hinder SARS-CoV-2 vaccine immunogenicity | medrxiv	f4x16qyh	['3ul4yoec', 'f4x16qyh', 'tsyl7crt', 'i1icueuw', 'kdxoyvsv']	0.5
31	Estimate of sars-cov-2 infections in zambia appears to be &gt;90 times higher than their confirmed case number.	ds7qon66	['dti9o5x3', 'bctb0ewu', 's86zb5up', 'j4bfn87k', 'nr0fu2qb']	0.0
32	#Ketogenic diet vs low calorie diet in individuals with #type2diabetes. after 1 year, the #ketogenic group lost weight and enhanced diabetes management. the low calorie group did neither. the ketogenic group also had enhanced quality of life and eating habits scores.	yx9ygiss	['yx9ygiss', 'rwi2rlwt', '5vbik12k', '3km6yfr6', 'wg5cfp0k']	1.0
33	Remote education during COVID-19: investigating school methods, service maintenance, and challenges for teenagers with and without attention-deficit/hyperactivity disorder - PubMed	el97nts9	['el97nts9', '5c8im9ci', 'dm6pznm2', 'rz9upijf', 'kkbkh4yi']	1.0
34	tweets of #sarscov2 + rbp kos + #mitochondria ko screen in 7 viruses   many rbps and mito factors work as host-protective during rna virus infections!   w/    carette  horvath	dntzzcue	['p2cbfzmp', 'hw4plghg', '2xjv2fb6', 'gv7mej7b', 'l0p7kci7']	0.0
35	I wished they would report how many people they encountered with blood clots in the same age groups among the unvaccinated population, how many people they vaccinated without any side effects &amp; mention that 2% of all COVID patients develop blood clots.	a4babgpl	['urk8aa5b', '55gugbs8', '8pemlz7a', '6h83xzqe', 'y1vjka66']	0.0
36	#donanemab for #alzheimer, misleadingly spun as positive: “donanemab resulted in a better [...] capacity to perform activities of daily living than placebo at 76 weeks”. the data suggest otherwise. (1/8)  #elililly  #adpd2021	tz48uje3	['tz48uje3', 'k5jkntul', 'fu61afkg', 'z9jqbliw', 'afytjnny']	1.0
37	New study out of Germany on face masks – lowered incidence 15% and 75% over a 20-day span after compulsory implementation – lowered daily increase rate of recorded infections by ~ 47%  crucial (often overlooked aspect): extremely low-cost intervention.	rpwmcqbg	['rpwmcqbg', 'qi1henyy', '7hkowm2y', '0yysikc1', 'h7ftu3ax']	1.0
38	Covid vaccine shares comparable components to human proteins. Upon receiving the vaccine, covid exposure may trigger a massive cytokine reaction. Pathogenic priming is likely to contribute to severe and critical illness and mortality in covid-19 via autoimmune response - sciencedirect	hwpn7ti1	['hwpn7ti1', 'qexarxjl', '4pyx0xps', 'ik4wen7l', '0j4z4ez7']	1.0
39	Vaccines that don’t align. they are called non human epitopes. that means they don’t align with our genome. this will minimize the chances of autoimmunity. this is well designed.	lvsn38q9	['ghabnnv0', 'o7qytdl5', 'i69uuezd', 'evf9nz05', 'lnhkux0m']	0.0
40	Impact of COVID-19 lockdown on daily routines and weight status among youths in China: The COVID-19 influence on lifestyle change survey (COINLICS)	cpuyh6q8	['cpuyh6q8', 'tyqeguyf', '0hhdwq68', '0u330d2u', 'ukca8cqw']	1.0
41	Face coverings significantly lower #covid-19 cases: they are also surprisingly affordable as a public health measure. possibly the most affordable public health measure: apart from washing your hands.	rpwmcqbg	['79m3sdfe', 'a0q61mpi', 'f2det6w2', 'r3w90vg8', 'umvrwgaw']	0.0
42	xu, x. s., bulger, e. a.,..., akbari, o. s., marshall, j. m. and bier, e. (2020). active genetic neutralizing elements for halting or eradicating gene drives. mol cell.	9n42e9k3	['9n42e9k3', '46c98cvm', '828s0mtz', 'r440fw19', '5rlmaggu']	1.0
43	Face masks significantly lower COVID-19 cases in Germany.	rpwmcqbg	['rpwmcqbg', 'eay6qfhz', '0imnd2q5', '4e82s91a', '0cnjtxyq']	1.0
44	"bears repeating: ""no medication definitely reduced mortality, or reduced initiation of ventilation or hospitalization duration. these #remdesivir #hydroxychloroquine #lopinavir &amp; #interferon regimens had little or no effect on hospitalized patients w/#covid19 """	jtgpzrf9	['jtgpzrf9', 'spfc0fc0', 'pfb3l2u3', 'h82r1ttc', '5gldyo2d']	1.0
45	genuinely inquisitive. why do you think there was almost no flu season in 2020?  compare case rates in 2017, 2018, 2019 and 2020. how do you explain the significantly lower infection rates?	xp2qkk52	['dc8z4jzo', 'zbusl6pc', '7vsv726x', 'ex6dyr77', 'hgpiig0g']	0.0
46	The youth aren't okay. 50% of the college-aged youth (and all but one of the women) in this study suffered from Covid symptoms > 28 days and were diagnosed with #longtermcovid #longcovid	1ik8lrid	['5szqxgjl', 'tjn8w95o', 'spwtv7n7', 'msra1ghp', 'lo4swmnc']	0.0
47	"""a common misconception is that it is a'mild flu.'  the virus has evolved into two strains that we know of currently.  one mild type and one severe type.  the majority of severe cases are in china, with the mild cases being reported elsewhere.  source: """	j99cgsjt	['gttuxtw6', 'rytzyf1j', 'sem6z3ka', '2ytec133', 'j99cgsjt']	0.2
48	where did it originate?  based on the genetic sequencing, it either came from bats or pangolins originally.  the most probable source is a bat, but it could have been a bat to another animal similar to how sars spread before.  source:	o877uul1	['z35xw2p0', 'x1uc10m5', 'f35cqkpf', 'h2uc7ria', '5d1131zt']	0.0
49	Chinese researchers suggest two primary types of SARS-CoV-2 virus strains (L & S) based on population genetic studies of 103 genomes. L type is more prevalent (70%) than S (30%), is more aggressive and has a higher transmission rate.  Read more on the PDF file.	j99cgsjt	['j99cgsjt', '2u44c7oi', 'ywne437k', 'mpthhazv', '8jhwamfv']	1.0
50	an important new preprint discovers that kids are just as likely as grown-ups to be infected. this is a key piece of data that may support school closures as an effective intervention.	hnx213kp	['bqdvx458', '32ua8wb6', 'c5zi5rzz', 'd8lmft7i', 'r2hovw0y']	0.0
51	"Social distancing and avoiding crowding reduced the ""peak incidence of an epidemic and prolonged it over many, rather than a few, weeks"" for the 1957 and 1968 influenza pandemics."	bb6lv6yg	['39mfts0g', '3flwt4et', 'x9zg7ulr', 'j3letcou', '54jnv4ki']	0.0
52	new preprint: how will the sars-cov-2 outbreak unfold in the coming months and years? will public health measures eventually eliminate it, like sars? or will it continue circulating, like pandemic flu? how will this depend on immunity and seasonal pressure?	f4hj35dr	['f4hj35dr', 'e49rdu76', 's8oq2sj8', 'ocwetgv6', 'l5ogbl5p']	1.0
53	should i wear a face covering?  while the cdc guidelines say healthy people should not wear a face covering, there is contradicting studies showing that face coverings do help prevent it to a certain degree  this study also showed no statistical difference for n95 or surgical  link:	cnmawglq	['hqapg5ow', '2bpyvgv7', 'ktjhr028', 'eay6qfhz', '7ruoysxu']	0.0
54	Based on exported cases to other countries, Italy may have had approximately 4000 #covid19 cases by the end of February, rather than the 1100 that were reported, suggesting about 70% of cases went unrecorded. More great analysis by  and co	wtdzad90	['wtdzad90', 'of9wlhga', '5y6gjl2t', '32v44sw9', '7hkowm2y']	1.0
55	New research finds #covidー19 undergoes confirmation change upon heparin binding. Sera 100 uses this mechanism to capture #viruses circulating in the #circulatorysystem.	0d77ojnb	['0d77ojnb', 'wrkx7qyo', 'o5wugbzo', 'r8ykuwlg', '1k1fhb1s']	1.0
56	so you believe RIVM when they say that you can't have #covid19 unless you have a 39c fever? do you also believe that you can't have it unless you travel to china or italy? the science contradicts them, which is why i also disagree when they mislead. table 1:	umttnp1g	['dc8z4jzo', 'jkm496ip', 'jnmpyovl', 'oo6ba081', '7vsv726x']	0.0
57	The potential false-positive rate among the 'asymptomatic infected individuals' in close contacts of COVID-19 patients→ nearly half or even more of 'asymptomatic infected individuals' reported in the active nucleic acid test screening might be incorrect positives.	5t4twnpm	['5t4twnpm', 'yj3yisum', 'iff8cuum', 'pf45ex8k', '4mat0psy']	1.0
58	2) highlights  📌the neurological effects of covid-19 are the most debilitating and are the most substantial long-term consequences of sars-cov-2 infection which has major socio-economic repercussions.	0ml57rhr	['0ml57rhr', 'efm6zj9r', '5kchpjx0', '1y79i676', 'w3zbf5k4']	1.0
59	"""almost one third of hospitalized patients with covid-19 develop encephalopathic symptoms...most concerning however are the long-term consequences of the viral infection."""	0ml57rhr	['maxbdi99', '00xuw5j9', '5kchpjx0', '79xnx9gr', 'br0hhzmn']	0.0
60	Lancet systematic review &amp; meta-analysis: SARS-CoV-2 viral load, viral shedding, infectiousness  “Although modelling studies estimated potential viral load peak before symptom onset—we did not identify any study that confirms pre-symptomatic viral load peak”	4qgfjczw	['eflwztji', '4qgfjczw', 'yzn6jibu', 'z94005i4', 'txnegebz']	0.5
61	Acute social disconnection evokes midbrain craving responses similar to hunger.	4dpe5q54	['4dpe5q54', '8mx0p1sh', 'gb1sk22m', '8tauux2o', 'enkjb39u']	1.0
62	"the ""just-in-time"" approach &amp; the lack of a proactive &amp; preventative stance to risk management reduced resilience of egyptian #agrifood smes to various risks presented by the pandemic. more details in our new agribusiness article:"	tq1hb45f	['tq1hb45f', 'jcqce7jo', 'a8065dca', '2fokjcjr', 'xwkdz2jm']	1.0
63	high elevated mortality in areas with young and socially vulnerable populations during the covid-19 outbreak in stockholm region, sweden | bmj global health 👏👏⁦⁩ ⁦⁩	zv351n3d	['zv351n3d', '8acldtv2', '29z4q4fs', 'apx6a4yb', 'glpca9u0']	1.0
64	"""these findings suggest that 87% of covid-19 deaths may be statistically linked to vitamin d inadequacy and could potentially be prevented by addressing vitamin d inadequacy"" the vit d discussion continues... challenging to envision a drawback to correcting deficiency."	k30wvnx8	['k30wvnx8', '7qrdvap1', 'qw5rpzws', 'l6oe215a', 'gdbr8zwr']	1.0
65	4/long covid: ~10-35% suffer persistent symptoms, mostly neurological: autonomic nervous system impairment, sleep disruptions, pain conditions, lightheadedness, cognitive challenges. in one series of hospitalization, 1/3 suffered memory loss post-discharge	0ml57rhr	['sqvdlnyj', 'jbs3d5xo', 'udr7gxv2', '3wk58t5t', 'wbsl6n67']	0.0
66	update: plasma shows no advantage in 228 covid patients. randomized. placebo controlled trial  despite early promise, we don’t use it anymore. good doctors don’t argue by saying “but in my experience”  that’s how science works. important article below	lty6oq3d	['lty6oq3d', 'a0q61mpi', '7h4x679r', 'xnrb0byz', 'qjvgiehe']	1.0
67	"""There are also multiple plausible mechanisms that may well explain the observed associations, such as heightened concentrations of pro-inflammatory cytokines, as well as lowered concentrations of anti-inflammatory cytokines in vitamin D insufficiency."""	k30wvnx8	['yn9qcwvq', 'iqe6sdq2', 'ib17jyva', 'ncfvllzi', 'rwh56zhg']	0.0
68	yes, antibody dependent amplification. any #coronavirus #vaccine can cause some recipients to develop much more severe form of the disease on exposure to the virus than they'd have developed if they hadn't been vaccinated. media aren't discussing this.	gw9hkw00	['gw9hkw00', 'gha1wg4w', 'kt47i60w', '0illlel7', 'dgizpo1z']	1.0
70	Fixed orthodontic therapies contribute to oral dysbiosis, but supplementation with #probiotic Lactobacillus reuteri prodentis can improve oral health markers and ↓ pathogenic species. #medtwitter #dentist #orthodontics #probiotics #microbiome	men1xxnc	['men1xxnc', 'htlvpvz5', 'tpovr13h', 'ksqxfx8m', '4kgnx00l']	1.0
71	new peer-reviewed journal of hepatology  “covid vaccine can elicit distinct T-cell-dominant immune-mediated hepatitis with a unique pathomechanism associated with vaccination-induced antigen-specific tissue-resident immunity requiring systemic immunosuppression”	lnls2mhg	['lnls2mhg', 'f296patc', 'spohl5ey', 'hlulg3wf', '24ie3mhq']	1.0
72	The effect of early treatment with ivermectin among patients with COVID-19 treatment with IVM did not result in a lower incidence of medical admission to hospital due to progression of COVID-19 or of prolonged ED observation among outpatients with an early diagnosis of COVID-19	mo23hpe1	['mo23hpe1', 'vrjibtfi', 'k5jkntul', 'ujy4i5uu', 'mqk72say']	1.0
74	"""This research highlights the necessity for a comprehensive examination of the apparent link between covid-19 vaccine administration and adverse cardiovascular outcomes among young adults."""	mxg2q1vd	['ofw7lnr5', 'aakzdkcj', 'kxbw44cy', 'mxg2q1vd', '6aw8zrap']	0.25
75	🚨 67% of #longcovid patients may have moderate to severe nervous system dysfunction, according to a new study from Stanford university.	g4ve91g5	['vh3qs9xv', 'kbaqqxxr', '3cl3q80m', 'u22z526l', 'qe8mxow7']	0.0
76	"""latest in  with  and    “ impact of population mixing between vaccinated and unvaccinated subpopulations on infectious disease dynamics: implications for sars-cov-2 transmission”"	55gugbs8	['55gugbs8', '3w5ouagx', 'ga1fks7l', '7pqy0ejn', 'fypodr9a']	1.0
77	level of dengue preventive measures and related factors in a Malaysian residential area during the COVID-19 outbreak: a cross-sectional study	k06pck9c	['k06pck9c', 'mttosjh7', 'f3k3olld', '2bm389su', 'ntxr1ivx']	1.0
78	"💥💥💥 explosion 💥💥💥 new - study reveals ""substantially"" higher emergency cardiovascular events among under-40 population in israel during vaccine rollout and third covid-19 wave."	mxg2q1vd	['mxg2q1vd', 'yb9uyov3', 't1ughb9b', '79xnx9gr', 'x0iartdn']	1.0
79	Evolutionary adaptation will lead to new sars-cov-2 variants with unpredictable severity | nature reviews microbiology	mu2vqjnv	['mu2vqjnv', 'p21ph6ng', '435pth8u', 'e49rdu76', '72f64kpf']	1.0
80	"hmmm. got hepatitis? covid jab can cause a ""vaccine-induced hepatitis. ""covid19 vaccination can elicit a distinct t cell-dominant immune-mediated hepatitis with a distinct pathomechanism associated with vaccination requiring systemic immunosuppression."""	lnls2mhg	['lnls2mhg', 'xuug2eyn', 'whm2wkx2', 'xeb14weg', '265cgz94']	1.0
81	thank goodness individuals took up this challenge to produce data  it has been demonstrated that early intubation is unlikely to make any difference at all to covid-19 outcomes, but harms patients by leading to additional intubations  you'll notice no randomised controlled trials  9/	rmyy6fni	['34ulkvl4', 'ec3pmvih', '104lecie', 'e0pz0z4j', 'gk3wr6s1']	0.0
82	we recently described disparities in vaccination by neighborhood in 16 large us cities. we find that areas of higher social susceptibility tended to have lower vaccination rates, but that this was highly heterogeneous. out in the , open access here:	6oi8s315	['byw8jsqv', 'jty38eda', 'whkfvd7l', 'ovuh3qoh', 'eywnnzxe']	0.0
83	"Once the immune system weakens it leads to multiple problems, as we know from hiv/aids. ""We present evidence that mrna vaccines induces a profound impairment in type i interferon signalling, which has diverse adverse consequences to human health."""	52lf5gzr	['52lf5gzr', 'dyrn6z9a', 'nli8ccyv', '4vzdk69c', '33xgu2rw']	1.0
84	Receipt of influenza vaccination was associated with a 34% lower risk of major adverse cardiovascular events, and individuals with recent acute heart attack had a 45% lower risk. #vaccination #cardiology	jqwoxfsc	['jqwoxfsc', 'szaxl65f', '9cds5g5u', 'ttvlddm2', '61ltmgyx']	1.0
85	Prevalence of infection-induced SARS-CoV-2 antibodies — United States, September 2021–February 2022 | MMWR - Centers for Disease Control and Prevention (.gov)	9pn62o4p	['9pn62o4p', '53ts46vr', '1niaplc2', 'uqeikj0m', '3vrg7zyc']	1.0
86	Severe psychosis caused by anti-N-methyl-D-aspartate receptor encephalitis after COVID-19 vaccination: a case report of a woman in her 20's who received the Pfizer BNT162b2 vaccine.	4ercv3oy	['4ercv3oy', 'g2bt258c', 'l30ey4fx', 'l16a5nq7', 'icse3cz8']	1.0
87	when covid struck, the world went into lockdown. but did slamming doors shut just alter the essence of deviant behaviours? our team investigate the police's experience of tracking individuals during the pandemic, drawing on the experience of law enforcement. check it out:	1l3b0hqj	['lr5lumdr', 'lbyvgqp2', '2hfkrl8m', 'thcl0eza', 'kmkeetl3']	0.0
88	SARS-CoV-2 infection has knock-on, lasting severe effects on the T cells. Don't show me in vitro analyses of the healthy young recovered and claim they don't exist, geniuses.	122yi9np	['71ixs3y4', '8brfph9v', '3urmf3ie', '08p8ns2d', '8lnjbxe5']	0.0
89	the cuida chagas initiative. towards the eradication of congenital transmission of chagas disease in bolivia, brazil, colombia and paraguay.	rntwm510	['rntwm510', 'zr9zx7pv', '3m39g1xv', '39mfts0g', 'pqt10xzt']	1.0
90	"""At least 50 percent of people who survive COVID-19 experience a range of physical and mental health issues for six months or more after their initial recovery"""	sz072p5o	['n1ht2eb1', 'jwei2g97', 'deezca5z', 'i88ccp9w', 'mb18fj8a']	0.0
91	1/ Covid: new study reveals almost twice the likelihood of acute kidney damage in children compared to adults who contract SARS 2. nearly 1 in 39 children who suffer kidney damage pass away as a result. many are left requiring new kidneys.	n006o856	['b6yfgc8t', 'njivwikk', '6nsoj5we', '9rczqcaz', 'piciwqyj']	0.0
92	perfect example of how suppression can obscure accurate information, lead to distrust &amp; stop advances in our understanding. this peer reviewed study *did* find a significant association between vaccine &amp; cardiac arrest calls in 16-39 yos, so why conceal this👇	mxg2q1vd	['mxg2q1vd', 'z22g03v4', 'awx9lcfk', 'js91utss', 'znwa2kig']	1.0
94	Could altering our microbiome or its byproducts be therapeutic, including against #longcovid? A top-notch, in-depth review of this potential target.	6qkjwsst	['j5sj9b3d', '2199ydle', 'sv48gjkk', 'h8x5cpz4', 'xb4x2zjx']	0.0
95	the most notable forecast from a depleted ozone layer was increased risk of skin cancer. have we seen skin cancer rates drop since the 90s as directly correlated with the chart?	9tkslcxq	['1psfiqqj', '7mc4dq6p', 'o61dn71v', 'fp81ceeu', 'xyuj1j57']	0.0
97	"""Excellent research on why phylomorphospaces frequently appear knotted. reminds me of why cables get knotted in our bags/pockets—there is only one possibility to not be knotted vs. vast number of ways to be knotted."""	gqifyp7g	['awx9lcfk', 't9hbbqay', 'e4xw6gyp', 'l6zsf85e', 's842zn9l']	0.0
98	This is on Dr. Fauci's own NIH website:  breakthrough: chloroquine phosphate has shown apparent effectiveness in treatment of COVID-19 associated pneumonia in clinical studies.	s2j4qf0j	['s2j4qf0j', 're8fstqw', 'hvp47bm2', 'kjf63oug', 'hruq0hdw']	1.0
99	"""none of the 15 patients who received a combination of hydroxychloroquine and azithromycin was admitted to intensive care and none passed away."" study: clinical efficacy of hydroxychloroquine in patients with covid-19 pneumonia."	iimx8nt8	['iimx8nt8', 'h82r1ttc', '8zm7n7j9', '4pcv1i3i', '3jnhboif']	1.0
100	Study from Bergamo, Italy, showing a 30-fold increased incidence of #Kawasaki-like disease (#PIMS) in youngsters. Cardiac involvement more common; 80% were #SARS-CoV-2 antibody positive. Outbreaks anticipated elsewhere in #COVID-19 hotspots. #Kids #Youth	4mp1iu55	['y0wu60n4', 'msovjuk4', '4mp1iu55', 'lae18d0l', '6zfpcm4j']	0.3333333333333333
101	remarkable case of antiphospholipid antibodies in patients with covid-19. one of three patients with these findings.	fw211spn	['9dnj4ppj', 'nles7ymd', '0b1dbz6q', 'u95kg3m0', '5tkyir3r']	0.0
102	"A recent study by  in  ""tweets referencing “chinese virus” or “china virus,” along with the content of these tweets, suggest that knowledge dissemination may be happening online and COVID-19 stigma is probably being perpetuated on Twitter."""	kk47kxwf	['kk47kxwf', 'ziyzdcmg', 'l69kwh48', 'kc3nb2pc', 'of9wlhga']	1.0
103	A new retrospective of severe COVID patients needing oxygen (n=181) reveals no advantage of HCQ without zinc. Nonetheless, a subset of patients receiving HCQ+AZ (n=16) achieved 100% survival and zero ICU admissions.	iimx8nt8	['ujy4i5uu', 'otp1atui', '1vmicejr', 'n5ogyxz7', '7keaoi4d']	0.0
104	"""Evidence for vitamins C, E, and zinc and their roles in preventing pneumonia and respiratory infections (vitamins C and D) and reinforcing immunity (zinc) appears to look particularly promising."""	479wkesk	['479wkesk', 'etriddkx', '1mz44ole', 'sjqt01gr', '9g0lo2e9']	1.0
105	🚨randomized, controlled clinical trial of #hydroxychloroquine shows *no benefit and more side effects* in patients hospitalized with mild to moderate #covid19. yet the  blasted Dr. Anthony Fauci for not supporting his favorite drug.🙄	3jnhboif	['h82r1ttc', 'xof56j98', 'mim419b8', '2l883zhe', 'f2ayoefj']	0.0
106	#biology pangolins are not the transitional animal for sars-cov-2, molecular and evolutionary analyses showed that this pangolin coronavirus we assembled was genetically associated with the sars-cov-2 but was not likely its ancestor.	69fmtury	['69fmtury', 'x1uc10m5', 'xcsl2evz', 'hgg33kwz', 'dnxhtbxn']	1.0
